,twitter_username,tweets_count,postive,negative,sum_sentiment,postive_r,negative_r
1,Helenceri,22,3,19,-13.8,0.13636363636363635,0.8636363636363636
2,Edward4East,633,224,409,-165.5999999999999,0.353870458135861,0.6461295418641391
3,Bathula_Victor,2,1,1,0.0,0.5,0.5
4,euandavidson,1868,565,1303,-682.8000000000018,0.3024625267665953,0.6975374732334048
5,annebegg,1139,400,739,-314.00000000000006,0.35118525021949076,0.6488147497805092
6,RDJRixson,86,17,69,-48.60000000000001,0.19767441860465115,0.8023255813953488
7,alanhilliar,9,4,5,-0.40000000000000013,0.4444444444444444,0.5555555555555556
8,geraldhowarth,365,140,225,-76.19999999999993,0.3835616438356164,0.6164383561643836
9,JohnFisher_1,286,95,191,-87.6,0.3321678321678322,0.6678321678321678
10,ablibdems,319,110,209,-87.6,0.3448275862068966,0.6551724137931034
11,morton_wendy,476,194,282,-78.00000000000001,0.40756302521008403,0.592436974789916
12,JTudorJones,159,45,114,-64.00000000000001,0.2830188679245283,0.7169811320754716
13,lauraknightly,572,203,369,-155.39999999999992,0.3548951048951049,0.6451048951048951
14,MarkTamiMP,262,77,185,-103.79999999999997,0.29389312977099236,0.7061068702290076
15,KevinGillottDCC,209,78,131,-44.80000000000001,0.37320574162679426,0.6267942583732058
16,KateSmithLibDem,30,13,17,-3.2,0.43333333333333335,0.5666666666666667
17,gerardmcmahon86,1071,337,734,-368.2000000000007,0.3146591970121382,0.6853408029878618
18,Anwen4Arfon,104,33,71,-31.60000000000002,0.3173076923076923,0.6826923076923077
19,AlanReidAandB,49,9,40,-28.200000000000006,0.1836734693877551,0.8163265306122449
20,nickherbertmp,1387,513,874,-326.59999999999997,0.3698630136986301,0.6301369863013698
21,cllrwellbelove,1618,447,1171,-665.0000000000013,0.2762669962917182,0.7237330037082819
22,helenharrisonuk,332,129,203,-65.79999999999995,0.3885542168674699,0.6114457831325302
23,BrendanChilton,701,210,491,-251.39999999999986,0.2995720399429387,0.7004279600570613
24,DamianGreen,1293,475,818,-313.20000000000016,0.36736272235112144,0.6326372776488786
25,cm_hicks,396,126,270,-129.5999999999999,0.3181818181818182,0.6818181818181818
26,stevenlambert1,2456,741,1715,-898.4000000000005,0.30171009771986973,0.6982899022801303
27,VictoriaPrentis,110,51,59,-8.2,0.4636363636363636,0.5363636363636364
28,margarethodge,877,288,589,-287.0000000000003,0.32839224629418473,0.6716077537058153
29,MinaRahman1,1140,434,706,-242.1999999999997,0.38070175438596493,0.6192982456140351
30,DanJarvisMP,991,343,648,-270.00000000000006,0.34611503531786075,0.6538849646821393
31,DavidRidgway67,384,151,233,-72.19999999999996,0.3932291666666667,0.6067708333333334
32,simonfell,780,223,557,-306.6000000000001,0.2858974358974359,0.7141025641025641
33,CllrPaulHarvey,1005,352,653,-277.40000000000003,0.3502487562189055,0.6497512437810945
34,LD4Bassetlaw,557,153,404,-234.00000000000006,0.2746858168761221,0.725314183123878
35,JohnMannMP,131,37,94,-53.6,0.2824427480916031,0.7175572519083969
36,Ollie_Middleton,1716,512,1204,-638.4000000000012,0.29836829836829837,0.7016317016317016
37,imtiazameen,903,294,609,-296.1999999999999,0.32558139534883723,0.6744186046511628
38,JaneEllison,1281,639,642,9.40000000000001,0.49882903981264637,0.5011709601873536
39,WillJMartindale,2154,773,1381,-543.4000000000012,0.35886722376973074,0.6411327762302693
40,LukeTaylor104,457,137,320,-174.00000000000006,0.29978118161925604,0.700218818380744
41,BeaconsfieldLab,211,70,141,-66.4,0.33175355450236965,0.6682464454976303
42,AnujaPrashar,1098,459,639,-164.19999999999993,0.4180327868852459,0.5819672131147541
43,MahmudHenryR,82,24,58,-35.8,0.2926829268292683,0.7073170731707317
44,Manton4Belfast,3,0,3,-3.0,0.0,1.0
45,Shea4WestBel,198,69,129,-52.40000000000002,0.3484848484848485,0.6515151515151515
46,jpfloru,490,157,333,-158.39999999999975,0.32040816326530613,0.6795918367346939
47,ScottDickinson0,2044,624,1420,-718.4000000000016,0.30528375733855184,0.6947162426614482
48,John2Win,1352,491,861,-340.4000000000004,0.3631656804733728,0.6368343195266272
49,kenryckbell,742,251,491,-210.19999999999996,0.33827493261455527,0.6617250673854448
50,rushanaraali,585,219,366,-134.59999999999988,0.37435897435897436,0.6256410256410256
51,denishealy,6,0,6,-3.6,0.0,1.0
52,grahamstuart,1893,725,1168,-407.6000000000009,0.3829899630216587,0.6170100369783412
53,HuwMerriman,152,73,79,-3.599999999999997,0.48026315789473684,0.5197368421052632
54,StefBorella,59,14,45,-29.200000000000003,0.23728813559322035,0.7627118644067796
55,DrDickyD,2144,848,1296,-405.6000000000008,0.39552238805970147,0.6044776119402985
56,DavidEvennett,46,11,35,-24.2,0.2391304347826087,0.7608695652173914
57,AllanBrame,66,20,46,-24.8,0.30303030303030304,0.696969696969697
58,frankfieldteam,241,77,164,-80.39999999999999,0.31950207468879666,0.6804979253112033
59,drlukeevans,1165,424,741,-288.6000000000003,0.36394849785407724,0.6360515021459228
60,GiselaStuart,1163,379,784,-370.20000000000044,0.32588134135855545,0.6741186586414445
61,RogerGodsiff,451,139,312,-166.60000000000005,0.3082039911308204,0.6917960088691796
