,Unnamed: 0,name,gender,birth_date,party_name,post_label,elected,twitter_username,twitter_user_id,tweets_count,followers,friends,retweet,favrotes,mentioned,quoted,reweet,mentioned%,quoted%,reweet%,topic_count,topic_ratio,former_MP
0,0,Stephen Kinnock,male,47,Labour Party,Aberavon,True,SKinnock,722347303,2617,15315,1239,91268,13779,574,2475,1226,0.21933511654566296,0.9457393962552542,0.4684753534581582,1150,0.033055475711411327,yes
1,1,Cen Phillips,male,46,Liberal Democrats,Aberavon,False,CenLD,1872769464,2798,1458,2680,3628547,1376,559,2734,648,0.1997855611150822,0.9771265189421016,0.2315939957112223,1199,0.029486265155054963,no
2,2,Sadie Vidal,female,0,Conservative and Unionist Party,Aberavon,False,sadievidal,19447175,22,344,368,30248,10,5,21,12,0.2272727272727273,0.9545454545454546,0.5454545454545454,6,0.01791044776119403,no
3,3,Guto Bebb,male,49,Conservative and Unionist Party,Aberconwy,True,GutoAberconwy,752820350371717120,335,553,30,14791,24,87,335,87,0.25970149253731345,1.0,0.25970149253731345,78,0.01680672268907563,yes
4,4,Emily Owen,Female,22,Labour Party,Aberconwy,False,Emily4Aberconwy,92363214,698,1292,918,562405,1880,204,627,430,0.2922636103151863,0.8982808022922636,0.6160458452722063,238,0.02589489718202589,no
5,5,Isobel Davidson,female,0,Liberal Democrats,Aberdeen North,False,isobeldavidson,1553831654,335,250,144,1606,130,196,290,257,0.5850746268656717,0.8656716417910447,0.7671641791044777,65,0.018513244090002847,no
6,6,Grace O'Keeffe,female,0,Conservative and Unionist Party,Aberdeen North,False,Grace_E_OKeeffe,858789131622723584,183,307,327,436998,754,33,170,93,0.18032786885245905,0.9289617486338798,0.5081967213114754,64,0.026845637583892617,no
7,7,Orr Vinegold,male,29,Labour Party,Aberdeen North,False,OrrVinegoldLab,857290145795641344,11,95,112,919,2,1,10,1,0.09090909090909093,0.9090909090909092,0.09090909090909093,5,0.04132231404958678,no
8,8,Callum O'Dwyer,Male,0,Labour Party,Aberdeen South,False,callumjodwyer,65415768,2593,973,2372,9513428,3041,600,2465,1630,0.23139220979560354,0.950636328576938,0.6286155032780563,386,0.012933056355960598,no
9,9,Ross Thomson,male,30,Conservative and Unionist Party,Aberdeen South,True,RossThomson_MP,539849453,2943,4225,856,223083,18180,407,2791,1033,0.1382942575603126,0.9483520217465172,0.3510023785253143,1394,0.03436036480157752,no
